函式名稱,定義位置,參考次數,原始碼狀態
"Abc.prototype.cfmt","tail.js:27",276,"Abc.prototype.cfmt = function() { return cfmt };"
"syntax","abc2svg.js:414",159,"function syntax(sev, msg, a1, a2, a3, a4) {"
"sy","svg.js:529",118,"function sy(y) {"
"abc2svg.Abc","abc2svg.js:235",116,"abc2svg.Abc = function(user) {"
"Abc.prototype.stv_g","tail.js:98",103,"Abc.prototype.stv_g = function() { return stv_g };"
"error","abc2svg.js:362",73,"function error(sev, s, msg, a1, a2, a3, a4) {"
"clone","abc2svg.js:310",69,"function clone(obj, lvl) {"
"Abc.prototype.info","tail.js:72",67,"Abc.prototype.info = function() { return info };"
"xygl","svg.js:667",47,"function xygl(x, y, gl) {"
"y_set","deco.js:133",42,"function y_set(st, up, x, w, y) {"
"out_XYAB","svg.js:483",40,"function out_XYAB(str, x, y, a, b) {"
"Abc.prototype.a_de","tail.js:24",36,"Abc.prototype.a_de = function() { return a_de }"
"Abc.prototype.glovar","tail.js:71",34,"Abc.prototype.glovar = function() { return glovar }"
"vskip","svg.js:1321",32,"function vskip(h) {"
"set_font","subs.js:310",32,"function set_font(xxx) {"
"y_get","deco.js:98",32,"function y_get(st, up, x, w) {"
"xy_str","subs.js:327",29,"function xy_str(x, y,"
"strwh","subs.js:140",27,"strwh = function(str) {"
"strwh","subs.js:195",27,"strwh = function(str) {"
"scanBuf.prototype.next_char","abc2svg.js:400",26,"scanBuf.prototype.next_char = function() {"
"tspan","subs.js:251",25,"function tspan(nf, of) {"
"set_sscale","svg.js:332",21,"function set_sscale(st) {"
"sym_link","tune.js:61",18,"function sym_link(s) {"
"scanBuf.prototype.char","abc2svg.js:397",16,"scanBuf.prototype.char = function() {"
"set_dscale","svg.js:375",15,"function set_dscale(st, no_scale) {"
"unlksym","music.js:380",15,"function unlksym(s) {"
"set_page","format.js:481",15,"function set_page() {"
"set_color","svg.js:322",14,"function set_color(color) {"
"Abc.prototype.sh","svg.js:539",14,"Abc.prototype.sh = function(h) {"
"blk_flush","svg.js:1418",14,"function blk_flush() {"
"get_font","format.js:946",14,"function get_font(fn) {"
"sx","svg.js:523",13,"function sx(x) {"
"uncomment","front.js:261",13,"function uncomment(src, flag) {"
"set_scale","svg.js:355",12,"function set_scale(s) {"
"get_bool","format.js:171",12,"function get_bool(param) {"
"do_cloning","tune.js:2142",11,"function do_cloning() {"
"out_sxsy","svg.js:557",11,"function out_sxsy(x, sep, y) {"
"get_lwidth","subs.js:404",11,"function get_lwidth() {"
"Abc.prototype.set_width","music.js:689",11,"Abc.prototype.set_width = function(s) {"
"get_unit","format.js:362",11,"function get_unit(param) {"
"st1","draw.js:3760",11,"function st1(st, s) {"
"scanBuf","abc2svg.js:393",11,"function scanBuf() {"
"glout","svg.js:624",10,"function glout() {"
"g_open","svg.js:500",9,"function g_open(x, y, rot, sx, sy) {"
"new_block","parse.js:328",9,"function new_block(subtype) {"
"lktsym","music.js:340",9,"function lktsym(s, next) {	// time linkage"
"font_class","format.js:896",9,"function font_class(font) {"
"use_font","format.js:906",9,"function use_font(font) {"
"set_hl","draw.js:830",9,"function set_hl(p_st, n, x, dx1, dx2) {"
"empty_function","svg.js:443",8,"function empty_function() {"
"xypath","svg.js:565",8,"function xypath(x, y, fill) {"
"partname","subs.js:733",8,"function partname(c) {"
"set_ref","parse.js:28",8,"function set_ref(s) {"
"new_type","music.js:1688",8,"function new_type(s) {"
"draw_tie","draw.js:2818",8,"function draw_tie(not1, not2,"
"str2svg","subs.js:240",7,"function str2svg(str) {"
"expand","parse.js:2655",7,"function expand(m, b) {"
"generate","tune.js:1323",6,"function generate() {"
"g_close","svg.js:513",6,"function g_close() {"
"svg_flush","svg.js:1340",6,"function svg_flush() {"
"parse_acc_pit","parse.js:1665",6,"function parse_acc_pit(line) {"
"set_yval","music.js:2388",6,"function set_yval(s) {"
"param_set_font","format.js:201",6,"function param_set_font(xxxfont, p) {"
"set_v_param","format.js:471",6,"function set_v_param(k, v) {"
"d_upstaff","deco.js:468",6,"function d_upstaff(de) {"
"Abc.prototype.do_pscom","tune.js:890",5,"Abc.prototype.do_pscom = function(text) {"
"get_vover","tune.js:1791",5,"function get_vover(type) {"
"out_wln","svg.js:883",5,"function out_wln(x, y, w) {"
"Abc.prototype.set_vp","parse.js:341",5,"Abc.prototype.set_vp = function(a) {"
"info_split","parse.js:1633",5,"function info_split(text) {"
"set_map","parse.js:1752",5,"function set_map(p_v, note, acc,"
"parse_seq","parse.js:2730",5,"function parse_seq(in_mac) {"
"lkvsym","music.js:331",5,"function lkvsym(s, next) {	// voice linkage"
"sym_ott","music.js:2461",5,"function sym_ott(s, d) {"
"gch_tr1","gchord.js:170",5,"function gch_tr1(p, tr) {"
"csan_add","gchord.js:216",5,"function csan_add(s) {"
"draw_note","draw.js:1643",5,"function draw_note(s,"
"draw_slurs","draw.js:2271",5,"function draw_slurs(s, last) {"
"scanBuf.prototype.get_int","abc2svg.js:403",5,"scanBuf.prototype.get_int = function() {"
"new_voice","tune.js:2052",4,"function new_voice(id) {"
"get_voice","tune.js:2170",4,"function get_voice(parm) {"
"out_deco_val","svg.js:1079",4,"function out_deco_val(x, y, name, val, defl) {"
"clr_sty","svg.js:1326",4,"function clr_sty() {"
"part_seq","subs.js:720",4,"function part_seq() {"
"get_interval","parse.js:131",4,"function get_interval(param, score) {"
"memo_kv_parm","parse.js:601",4,"function memo_kv_parm(vid,	// voice ID (V:) / '*' (K:/V:*)"
"parse_dur","parse.js:1649",4,"function parse_dur(line) {"
"parse_vpos","parse.js:1852",4,"function parse_vpos() {"
"identify_note","music.js:69",4,"function identify_note(s, dur_o) {"
"_bar","music.js:1264",4,"function _bar(s) {"
"to_rest","music.js:1412",4,"function to_rest(so) {"
"set_nl","music.js:1680",4,"function set_nl(s) {			// s = start of line"
"loffs","music.js:3341",4,"function loffs(d) {"
"new_sym","music.js:3511",4,"function new_sym(s, p_v, last_s) {"
